Genes,GSM458594,GSM458595,GSM458596,GSM458597,GSM458598,GSM458599,GSM458600,GSM458601
10338093,5.579612106,4.049829565,5.59581156,3.741649679,3.630676844,5.093986347,4.839631885,5.166860403
10338094,8.12351972,7.304479592,8.379855418,6.849744884,7.137819444,7.600908016,7.0426357,7.410866854
10338095,7.87538921,7.936596696,7.892121396,8.292966488,8.079948356,7.927409536,7.928854418,8.183219826
10338096,5.834749633,4.580777708,4.827828253,5.150912392,5.321631921,5.793960428,4.53015071,4.79705502
10338097,2.903856582,3.518132561,4.293493623,2.877979539,2.253082694,3.250607553,2.612463273,1.947409724
10338098,6.500215535,5.960907648,6.172891329,5.551555536,6.338035536,5.858560443,5.606424835,5.767704474
10338099,5.4975752,4.853101217,5.400883801,3.808239782,5.287189719,5.038255723,4.886125152,5.878839391
10338100,2.518980424,2.925255562,2.195986228,1.996718769,2.707432231,2.259931085,2.830335194,2.962340909
10338101,6.74833484,5.817396812,5.88112613,5.796573008,6.041375723,6.347388134,6.545968394,6.283368674
10338102,2.194571208,3.533273178,2.17666343,2.261431942,1.863960417,2.483351557,2.767905194,2.62297717
10338103,5.14530216,4.62501792,4.325393992,4.837059652,4.794010936,3.724997633,4.673008565,5.07298296
10338104,8.462406195,7.991178585,8.424905704,8.338859277,8.152227563,8.331339715,7.985543447,7.827190397
10338105,3.113313613,4.623416176,3.304175919,3.864226514,3.433122707,2.986243207,3.731821204,3.183523587
10338106,7.078127832,6.789440655,6.64541294,7.232029408,7.003849114,6.775797606,7.097875673,7.424659929
10338107,6.753517035,6.225843174,6.46065267,5.683889048,6.058799839,5.826989065,5.728516284,6.584482615
10338108,5.325597274,5.385644215,5.013949088,4.660782269,5.018510461,4.679801559,3.856677196,5.590818357
10338109,5.446651437,4.419287233,5.047772894,4.438010905,5.344705895,4.653351188,4.737667522,5.410315674
10338110,4.671541876,4.544014836,3.874844642,4.178139765,3.84769093,4.859470296,4.602500289,5.204025988
10338111,7.597966412,7.888484144,7.71672219,8.057516483,8.099967583,7.921718404,8.118218484,7.930315528
10338112,6.151026667,5.538564961,6.173675018,5.476710498,6.104887567,6.24675445,5.967554312,5.802325938
10338113,4.682010608,4.484312059,4.88935467,4.109083476,4.3530692,4.471351247,4.627219132,4.731378848
10338114,4.087972991,3.468797355,4.084899111,3.775778989,4.058134262,4.231945091,4.347983222,4.828490536
10338115,3.9468823,3.588755218,4.247360614,4.859502858,3.5603527,3.751111517,3.932824873,4.980268241
10338116,8.111840973,8.749975712,7.939667832,8.665305928,8.531712393,8.695689621,9.196068402,8.833304962
10338117,7.321920024,7.972860388,7.598006871,8.279820752,8.101986934,8.098768801,8.308521078,7.901302549
10338118,2.766148426,4.270842703,3.054264841,2.589466827,2.809170782,2.93191903,2.736027778,2.828163782
10338119,6.058764647,5.510218552,5.301635071,5.317245338,5.381598819,5.173674637,5.887661909,6.096751918
