"","GSM4978121","GSM4978122","GSM4978123","GSM4978124","GSM4978125","GSM4978126","GSM4978127","GSM4978128","GSM4978129","GSM4978130","GSM4978131","GSM4978132","GSM4978133","GSM4978134"
"ASCRP000769",6.098528422,5.979933643,5.939203886,5.95021275,6.141904962,6.212895857,6.289958253,6.093284257,6.231675531,6.22957889,6.133118277,6.41353444,6.308463163,6.334663872
"ASCRP000770",6.112809714,6.268224764,6.155199224,6.409095946,6.28281585,6.377958466,6.305822827,6.092704879,6.619965561,6.268127371,7.440214281,6.313398161,6.33749251,6.577317001
"ASCRP000773",6.605456506,6.406058356,7.077465469,7.048770181,6.060547262,6.069226467,6.332397883,6.073425277,6.079521103,6.159856866,6.111698023,6.254251262,6.23348143,6.090523708
"ASCRP000774",6.758754051,6.849664847,7.289186206,8.542114029,6.747356414,6.735660947,7.134922166,6.989446836,6.890935035,6.792795597,6.217363893,7.779559891,6.957743747,6.908678399
"ASCRP000776",10.88146066,10.61893626,11.09870969,12.7344187,10.52129195,10.36967849,8.665562864,8.504018522,8.047963848,8.753174211,11.72172077,7.757673692,7.699877179,10.67357435
"ASCRP000779",10.68370194,11.00858519,7.976785831,6.931992346,7.075397155,7.006581261,6.426400136,6.67720654,6.422110928,6.63734367,6.105210407,6.73712714,6.19140132,9.057658758
"ASCRP000781",6.108876224,6.354595823,6.129058073,6.175861703,6.229650748,6.438237267,6.524778773,6.325047429,6.350306365,6.215842514,6.201062557,6.233331963,6.314716921,6.222402642
"ASCRP000782",6.038563058,6.045964318,5.871044176,5.981202141,6.225730159,6.664830084,6.205702896,6.252129672,6.221864962,6.24305196,6.112976552,6.280307662,6.069175459,6.225001371
"ASCRP000787",6.522454531,6.524469101,6.776231486,7.206462485,6.174081875,6.23294783,9.98820785,6.021921948,6.202962867,8.400664519,6.530138978,6.121620924,6.13801234,6.19707073
"ASCRP000788",6.458553666,6.531740768,6.907883246,7.381366412,6.355307105,6.378739367,6.459144821,6.271044162,6.399058237,6.374126448,7.007533057,6.272532367,6.189194942,6.249597912
"ASCRP000789",7.67224698,7.498713901,8.971572071,8.62176842,7.027577287,6.90753744,7.467262907,6.880621423,7.537819808,6.886180541,7.785570849,7.019144638,6.95760897,6.584056568
"ASCRP000791",6.354390986,6.111271169,6.105826329,6.30394548,6.809319091,7.11100971,6.871965731,6.704214315,6.605144339,6.801833727,6.753178114,7.730462343,7.242152602,7.483214851
"ASCRP000792",6.249856142,6.298465502,6.600353511,6.508982341,6.135396804,6.252018613,6.872741093,6.197564541,6.364269063,6.212104611,6.008822356,6.135540619,6.278170095,6.177665523
"ASCRP000794",6.9213289,7.743423975,7.15600989,7.269734911,6.430336979,6.499210413,7.405039021,6.786223922,7.197584944,6.908071984,7.05355568,7.09236981,7.083204408,6.45080036
"ASCRP000795",6.30178568,7.169321734,6.991524409,7.862013421,6.1900993,6.209225671,6.635597294,6.194728849,6.375844451,6.345182549,6.537222355,6.418481519,6.522918947,6.150103285
"ASCRP000796",6.596605631,7.110129777,7.114743591,7.229264845,6.861865204,6.881953732,6.724527034,6.759777845,6.406709081,7.16554957,7.122374123,7.152061241,6.361040369,7.097244159
"ASCRP000797",6.556638752,6.333316667,6.183229887,5.926508092,8.625568182,7.223262377,8.603551233,7.805235149,8.426938385,10.63422708,7.22126599,11.06344671,9.167260018,7.636087464
"ASCRP000798",6.094925094,5.952618905,5.925499746,5.958575472,6.097479807,6.175726532,6.504900023,6.250816353,6.355667293,6.569788162,6.25692448,7.744633631,6.53459992,6.473668788
"ASCRP000802",6.130425908,6.104901624,5.986028407,6.054418524,6.196766333,6.299351849,6.145669548,6.341221417,6.131397713,6.310275384,6.051479971,6.145741938,6.358236167,6.448613646
"ASCRP000803",6.88773482,6.740483384,7.063510238,7.717216191,7.369661547,7.882819074,6.913987159,8.145197999,7.350846997,8.627799863,7.135271359,8.173913969,8.178911202,8.014142413
"ASCRP000804",6.678586949,6.437154038,6.837259409,7.207015603,6.684813091,7.152097113,6.482270673,7.151873742,6.617033834,7.599406986,6.747340073,7.546531425,7.338957114,7.383118426
"ASCRP000805",6.526033588,6.639157822,6.88465885,7.234940636,6.491840695,6.784806967,6.235824282,6.782483732,6.399638776,7.060463587,6.519118384,6.968991978,6.782453252,6.954372827
"ASCRP000808",6.394027631,6.527437313,6.541205638,6.891939822,6.54052122,6.641256334,6.458035286,6.532393903,6.325739041,6.420943178,7.011873645,6.480812664,6.714936514,6.515749969
"ASCRP000809",6.453553311,6.340677629,6.498739687,6.660011216,6.609245552,6.701729563,6.990577,6.57224168,7.202357066,6.646395168,6.633546219,6.720246907,6.829032661,6.615541175
"ASCRP000810",6.058138267,6.107378587,5.983653739,6.137958022,6.125892353,6.183087819,6.332041478,6.251766189,6.150349621,6.194172387,5.979038089,6.073759545,5.475822682,6.108256264
"ASCRP000812",6.133643932,6.142049843,6.173820526,6.291077721,6.400485564,6.174420607,6.018480591,6.197416331,6.26032431,6.4885201,6.284170854,6.355139965,6.522813636,6.504796626
"ASCRP000813",6.266825627,6.206114751,6.145091676,6.528772562,6.425448249,6.289402969,7.237719798,6.211956685,6.585976789,6.519576911,6.083195584,7.131824213,6.79641417,6.367895631
"ASCRP000816",10.78413751,10.57060598,12.63007902,11.16384543,6.260121013,6.207985814,6.570807254,6.092867552,6.535486544,6.274115192,6.966114392,6.273708565,6.339645603,6.223419006
"ASCRP000818",7.433674936,7.478362382,8.48910043,8.524388365,6.813399216,6.860485254,6.89266911,6.554245548,6.763838101,6.717506834,7.330862057,6.557471846,6.725123386,6.584810886
"ASCRP000819",7.04636457,6.483226478,6.420269662,6.267497422,5.93391244,5.977036666,6.141164738,6.619371415,6.437899266,5.94205755,6.016607328,5.975763309,6.107789487,5.920963996
"ASCRP000821",9.432637076,10.4460026,11.61257244,10.66656216,9.660924932,9.528882109,9.828867772,8.318610735,9.366945859,9.603947777,10.17904964,9.055549456,9.085594917,9.717652594
"ASCRP000823",6.029429243,6.235341097,6.223177932,6.31543229,6.165629837,6.204750569,6.144995372,5.927208406,5.98594346,6.105647073,6.648097087,6.024747138,6.137148866,6.098757876
"ASCRP000825",6.108765205,5.960726439,5.912038676,5.929356162,6.259209867,6.285951218,6.180815141,7.681671671,6.074537688,6.139111843,6.117929539,6.227041427,6.171664263,6.23209267
"ASCRP000826",6.113191564,6.319176905,6.30829446,5.988640542,6.110500371,6.185278079,6.059041616,6.121031977,6.123522758,6.042772225,6.303859537,6.070483682,6.074741829,6.107377034
"ASCRP000828",8.602369527,9.242923873,8.874214715,8.63994222,9.85315957,9.910295536,11.14214866,9.825670013,11.61362708,10.34619769,10.53386379,10.65798086,11.26130663,10.35207902
"ASCRP000829",6.747036596,6.39327726,6.16480341,5.905555687,6.447541358,6.990619592,6.473600297,7.78163516,6.666569396,6.641006384,6.377057605,6.402065772,6.337945506,6.569520648
"ASCRP000830",6.518615308,6.698024316,7.075680359,7.077847077,7.142983012,6.740253127,6.696867084,7.547696034,6.737071391,6.709283721,7.134498363,6.337720952,6.721664723,7.209397497
"ASCRP000832",6.472557043,6.707910998,6.778317358,7.337040825,6.750843253,6.821174859,6.573774042,6.542472083,6.522798023,6.760224676,7.922041792,7.477415828,7.297852898,7.596247441
"ASCRP000833",6.274995026,6.25079651,6.402150881,6.635548625,6.124511497,6.181105144,6.286109308,6.092360079,6.246080258,6.286089738,6.432859626,6.429956565,6.496932029,6.24161585
"ASCRP000836",6.075618182,6.241361506,6.326713812,7.605030931,5.902450333,5.892652479,5.854835131,5.856593408,6.016008904,5.8754345,6.014816086,5.87656909,5.895398873,6.063699597
"ASCRP000838",6.147630598,6.14753015,6.266301625,6.114724887,5.93933231,5.958110736,6.280676969,6.111726007,6.34217985,6.10783193,6.27112503,6.191669559,6.212290242,6.018600719
"ASCRP000840",6.072621133,5.902949088,5.90367935,5.832869857,6.425978724,6.327226016,6.013006958,6.350614475,5.907931724,6.347456409,6.063801174,6.376741883,6.075591887,7.006734419
"ASCRP000841",6.027127292,5.929355769,5.913172615,6.015693318,6.1108643,6.238706594,6.054961159,6.237635154,5.952714402,6.459121267,6.082691219,6.5056439,6.399898993,6.114535074
"ASCRP000842",6.171850488,6.135453777,6.089991013,5.921410653,6.193480169,6.105037151,6.033698089,6.372463176,6.007021358,6.173551158,5.990677707,5.999098087,6.105253134,6.128085125
